['Device', 'tps', 'kB_read/s', 'kB_wrtn/s', 'kB_read', 'kB_wrtn'],P.Read,Power const.,P.Write,P.Idle,%idle,Idle const,Total Power
sda,91,8448,8476,8448,8476,10644.5,1.26,10679.8,633.5,52.79,0.6,21324.2
sda,73,8192,12524,8192,12524,10321.9,1.26,15780.2,642.5,53.54,0.6,26102.2
sda,81,8704,12596,8704,12596,10967,1.26,15871,698.8,58.23,0.6,26838
sda,76,8192,12484,8192,12484,10321.9,1.26,15729.8,638.2,53.18,0.6,26051.8
sda,73,8576,12680,8576,12680,10805.8,1.26,15976.8,650.4,54.2,0.6,26782.6
sda,80,8320,12528,8320,12528,10483.2,1.26,15785.3,645.2,53.77,0.6,26268.5
sda,71,8448,12916,8448,12916,10644.5,1.26,16274.2,669.0,55.75,0.6,26918.6
sda,79,8064,12508,8064,12508,10160.6,1.26,15760.1,640.2,53.35,0.6,25920.7
sda,87,9344,9452,9344,9452,11773.4,1.26,11909.5,642.5,53.54,0.6,23683
sda,72,8192,14456,8192,14456,10321.9,1.26,18214.6,652.7,54.39,0.6,28536.5
sda,72,7168,16580,7168,16580,9031.7,1.26,20890.8,636.4,53.03,0.6,29922.5
sda,65,7808,16496,7808,16496,9838.1,1.26,20785,658.9,54.91,0.6,30623
sda,62.38,5956.44,16427.72,6016,16592,7505.1,1.26,20698.9,627.2,52.27,0.6,28204
sda,69,7936,20584,7936,20584,9999.4,1.26,25935.8,725.4,60.45,0.6,35935.2
sda,56,4864,12500,4864,12500,6128.6,1.26,15750,667.0,55.58,0.6,21878.6
sda,76,7808,20616,7808,20616,9838.1,1.26,25976.2,669.7,55.81,0.6,35814.2
sda,69,5888,12544,5888,12544,7418.9,1.26,15805.4,654.6,54.55,0.6,23224.3
sda,46,4992,24664,4992,24664,6289.9,1.26,31076.6,661.2,55.1,0.6,37366.6
sda,80,7552,16624,7552,16624,9515.5,1.26,20946.2,619.7,51.64,0.6,30461.8
sda,49,5120,24676,5120,24676,6451.2,1.26,31091.8,675.0,56.25,0.6,37543
sda,58,6272,16516,6272,16516,7902.7,1.26,20810.2,649.9,54.16,0.6,28712.9
sda,72,7040,16576,7040,16576,8870.4,1.26,20885.8,686.6,57.22,0.6,29756.2
sda,59,6272,24720,6272,24720,7902.7,1.26,31147.2,699.5,58.29,0.6,39049.9
sda,71,6528,16596,6528,16596,8225.3,1.26,20911,583.3,48.61,0.6,29136.2
sda,69,8064,16616,8064,16616,10160.6,1.26,20936.2,652.9,54.41,0.6,31096.8
sda,68,5760,20724,5760,20724,7257.6,1.26,26112.2,597.0,49.75,0.6,33369.8
sda,63,6912,20832,6912,20832,8709.1,1.26,26248.3,643.6,53.63,0.6,34957.4
sda,68,6144,16612,6144,16612,7741.4,1.26,20931.1,631.6,52.63,0.6,28672.6
sda,75,8320,21108,8320,21108,10483.2,1.26,26596.1,691.0,57.58,0.6,37079.3
sda,64,5888,20668,5888,20668,7418.9,1.26,26041.7,673.7,56.14,0.6,33460.6
sda,62,6784,17512,6784,17512,8547.8,1.26,22065.1,643.8,53.65,0.6,30613
sda,75,7552,16576,7552,16576,9515.5,1.26,20885.8,686.6,57.22,0.6,30401.3
sda,52,5376,24664,5376,24664,6773.8,1.26,31076.6,624.1,52.01,0.6,37850.4
sda,79,7424,18636,7424,18636,9354.2,1.26,23481.4,606.0,50.5,0.6,32835.6
sda,49,4864,24680,4864,24680,6128.6,1.26,31096.8,606.1,50.51,0.6,37225.4
sda,77,8064,20624,8064,20624,10160.6,1.26,25986.2,651.2,54.27,0.6,36146.9
sda,78,6912,20648,6912,20648,8709.1,1.26,26016.5,683.2,56.93,0.6,34725.6
sda,61,5504,24656,5504,24656,6935,1.26,31066.6,717.6,59.8,0.6,38001.6
sda,78,5248,20660,5248,20660,6612.5,1.26,26031.6,665.0,55.42,0.6,32644.1
sda,69,3328,32812,3328,32812,4193.3,1.26,41343.1,650.6,54.22,0.6,45536.4
sda,85,5248,32840,5248,32840,6612.5,1.26,41378.4,716.4,59.7,0.6,47990.9
sda,74,5248,16584,5248,16584,6612.5,1.26,20895.8,656.2,54.68,0.6,27508.3
sda,95,7040,32840,7040,32840,8870.4,1.26,41378.4,774.7,64.56,0.6,50248.8
sda,89,5888,32852,5888,32852,7418.9,1.26,41393.5,707.2,58.93,0.6,48812.4
