	Iozone: Performance Test of File I/O
	        Version $Revision: 3.420 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa.

	Run began: Fri Nov 17 01:10:23 2017

	Auto Mode
	Command line used: iozone -a
	Output is in Kbytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 Kbytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                            random  random    bkwd   record   stride                                   
              KB  reclen   write rewrite    read    reread    read   write    read  rewrite     read   fwrite frewrite   fread  freread
            4096       8 1738535 2850103  5859825  5961494 5438722 2933818 2799480  4698053  5257310  2335234  3000428 5792648  5891980
            4096      16 1818782 2840678  6178018  5902100 6225028 3049966 5244471  4505833  5810280  2856263  1727521 6178018  6207035
            4096      32 1742237 3086126  2775061  2302374 5535098 2700046 5736555  3824713  6198078  2950952  2900630 5411313  4380601
            4096      64 1410057 2938334  2820623  5944991 5859825 3349682 6234064  4757904  6410863  3059199  3126565 6439700  6669706
            4096     128  820832 3058654  2588965  2799480 5777065 3402085 6060333  4586428  6207035  1642936  1399832 5589120  3189841
            4096     256 1809206 3002525  6370451  6408472 2522443 1270530 3823862  3751222  3548968  1940393  2854365 6178018  6243125
            4096     512 1826906 2563086  6140479  5179642 4941279 2339368 6058196  4171080  7939654  2925823  1320430 6207035  6049663
            4096    1024 1200063 1088242  6410863  6361016 6066754 3107900 5506711  3996428  7925004  2529871  1096087 5885924  6120790
            4096    2048 1540960 1646242  2374285  2266531 4067390 2315406 4428023  2836457  5013377  1942148  1526040 4633432  4830139
            4096    4096  721121 2555081  3175103  4112175 3376675 2644356 4325455  2663212  4257917  1620772  2716268 3274348  2512850
            8192       4  563608 1304430  4067297  5062726 4380493 2619719 4651501  3695070  4063449  2780632  2706385 2486087  5098030
            8192       8  628369 2292818  5924291  4332439 4788276 2900827 4926264  4151830  5218033  3001950  3094968 5814021  5772993
            8192      16 1867295 2821736  2220653  6242905 5958192 3157830 5773964  4630813  5161595  2895693  1685969 5210911  4759753
            8192      32  894999 3145975  6339662  6507765 6163396 3338228 5936574  3725519  6345516  3076126  2152352 6177802  5611763
            8192      64 1506688 1296603  6410631  5034537 6360787 3287130 3585187  4943985  6325656  2235098  1829805 6384425  5494212
            8192     128 1486224 2013721  6410631  3382261 5588034 3339851 6182248  4955393  6196743  2946853  2529090 6380868  6287458
            8192     256 1876780 1405892  2674574  6292063 6224809 3250744 5966469  4249389  6018726  2827774  2900827 6037763  6077276
            8192     512 1097271 2395273  3113478  6158977 6205696 3385260 4196452  4433053  8605412  2714295  2713438 6122759  3521978
            8192    1024 1095766 1482697  6141364  6286308 5884720 3185053 3032953  3386595  3249514  2277469  2704467 6024002  6054786
            8192    2048  664343 2632364  4838850  4815791 4490996 2876301 3917958  2801719  4306915  2630751  1898977 4688953  4617744
            8192    4096 1668126 1262863  4476368  2682509 3284616 2369668 4047652  1995129  4366576  2636606  3116019 3797996  2934020
            8192    8192 1670478 2608780  2995407  4493345 4442223 2377868 3959496  2511345  4421075  2798752  2618921 4141820  4445097
           16384       4 1532794 2784441  4565227  5053718 3297352 2625305 3635988  2542077  4235718  2768066  2033493 4808649  2687629
           16384       8  738952 1657456  5354150  5533055 5085131 2975667 3892615  5124569  3827145  1960288  3023985 4717539  5525936
           16384      16  808247 2316454  5958092  5514850 3170330 2157204 4857596  5338344  3929790  2867396  2986530 5964297  5962227
           16384      32 1809797 1383080  2237631  5799696 5945205 3181927 2237923  4854508  4186942  3063483  1196873 6215129  5624535
           16384      64 1942391 1677483  6299450  5885126 6099827 3377408 4961764  5304145  4425575  2626910  3144220 6173255  6316241
           16384     128 1830820 1378668  5895729  6296564 6127020 3338845 2581807  5267957  3732156  3033462  2278058 6045627  6136321
           16384     256 1284000 2041346  6260425  6142904 6063765 2779823 6028127  5002944  6246199  2991340  2912606 5675165  6215129
           16384     512 1886456 3159253  2475324  2375797 3924179 2681023 3007442  4910005  3617613  2766617  2677159 3488155  3051512
           16384    1024 1876104 1586805  3017876  6248471 3332854 2621499 4641387  4561287  4073760  2438866  1652951 5139132  5957575
           16384    2048  868714 2297249  4519589  4698830 4613963 2977343 4621721  3432574  4240161  2244721  2101268 4710748  3479325
           16384    4096 1665692 2185399  1976810  4236763 4302549 2744847 3829918  2848380  4356280  2513256  2277077 4289121  3123640
           16384    8192 1670795 2592033  2186860  4345811 4345811 2769851 4201020  2881947  2947334  2150386  2598993 4314976  4338951
           16384   16384 1489988 2721584  3139910  2970778 4351590 2871830 2205388  2781173  4527330  2840961  2934120 4367909  4230243
           32768      64 1784671 3278459  3657936  6732647 6558827 3091308 6420039  5017337  6261796  1696236  2836318 6391378  6465644
           32768     128 1798661 2959571  3528435  5526782 6564152 3441669 6613108  5589947  6569172  3089292  3034387 6262937  4416730
           32768     256 1690728 2878917  5287780  3960456 6507894 3469733 6231983  4567625  6510668  3004536  2966534 5202118  5912673
           32768     512 1804612 3015612  6370049  3133239 6173478 3367379 6458049  2771292  5132953  1995866  2512649 5497161  6404781
           32768    1024 1208702 1805110  5964247  6028075 6413747 3214735 2765715  4509772  5947985  1803712  2140866 6325778  6372707
           32768    2048 1768094 1632120  4590049  4838751 4430541 2460426 3451782  3575340  5900996  1237510  1830010 3704273  4742740
           32768    4096 1663108 1770577  4196121  3617594 4453944 2855351 4334272  3057337  4326359  1917722  2195376 3661250  3403739
           32768    8192 1691435 2659535  3483717  4469297 3600064 2849136 3346064  2671061  3793009  2498126  2276315 4200610  4317796
           32768   16384 1652689 1911800  3407284  4124347 4416162 2909634 4387823  2638500  4385443  1321556  3111040 3520392  4438267
           65536      64 1515215 2881839  5391686  6272485 6614350 3427413 6573383  5787901  3771609  3210822  2827385 6713376  6475210
           65536     128 1848890 3093945  6523463  6547080 5764959 3509506 3235730  4253640  6652127  2979195  2099301 6666323  6352943
           65536     256 1469685 3117773  6373270  5570892 5788267 3445111 3790593  5360458  5713196  2784848  1850982 5748803  5817668
           65536     512 1594744 2412250  6378890  5797667 6311370 3128062 6418211  5194725  6528731  2779526  2678526 6391200  6536649
           65536    1024 1843027 3118374  4157333  5445412 6396257 3237636 3196708  4838053  6235490  1889080  2268141 5205744  5460448
           65536    2048 1714474 2076810  4683811  4601252 4039719 2953015 4848721  3291446  4812810  2110730  2043720 3732127  3174116
           65536    4096 1169430 2121596  4298002  2615473 3923587 2728728 4237704  3148341  4548262  2032822  2038884 3872621  4299414
           65536    8192 1523850 1946192  3798975  3693215 4396582 2652396 3822696  2810905  3960388  1807137  2066738 3863694  3442566
           65536   16384 1627817 2668618  4050195  3884991 4217289 2675684 4283134  2766517  3881315  2379837  2523904 3752865  4139989
          131072      64 1077169 3309891  6698963  6297908 6478705 3308059 5981470  5718176  5282415  3091384  3018566 6664934  6288831
          131072     128 1651137 3082095  6145008  6079701 5969455 3196964 6092435  5600221  6513863  3036388  2639924 6190469  6249866
          131072     256 1624248 3054507  6020247  6081920 6101157 3335253 6143840  4863898  6116294  2931142  2999085 6385692  4145070
          131072     512 1811913 3099733  5401051  6102850 6053859 3453721 6053859  4889247  6420445  2595847  2099732 6473670  3678186
