['Device', 'tps', 'kB_read/s', 'kB_wrtn/s', 'kb_read', 'kB_wrtn'],P.Read,Power const.,P.Write,P.Idle,%idle,Idle const,Total Power
sda,52.67,1536.24,2076.49,14051245,18992637,1935.7,1.26,2616.4,1002.2,83.52,0.6,5554.3
sda,48,608,0,608,0,766.1,1.26,0.0,1050.7,87.56,0.6,1816.8
sda,723,21120,60,21120,60,26611.2,1.26,75.6,860.2,71.68,0.6,27547.0
sda,308,32776,28624,32776,28624,41297.8,1.26,36066.2,916.1,76.34,0.6,78280.1
sda,33,36,20272,36,20272,45.4,1.26,25542.7,1172.8,97.73,0.6,26760.8
sda,35,612,0,612,0,771.1,1.26,0.0,1059.0,88.25,0.6,1830.1
sda,0,0,0,0,0,0.0,1.26,0.0,1181.9,98.49,0.6,1181.9
sda,0,0,0,0,0,0.0,1.26,0.0,1173.1,97.76,0.6,1173.1
sda,2,0,52,0,52,0.0,1.26,65.5,1166.9,97.24,0.6,1232.4
sda,0,0,0,0,0,0.0,1.26,0.0,1173.1,97.76,0.6,1173.1
sda,0,0,0,0,0,0.0,1.26,0.0,1178.9,98.24,0.6,1178.9
sda,0,0,0,0,0,0.0,1.26,0.0,1169.9,97.49,0.6,1169.9
sda,0,0,0,0,0,0.0,1.26,0.0,1182.0,98.5,0.6,1182.0
sda,2,0,12,0,12,0.0,1.26,15.1,1164.0,97,0.6,1179.1
sda,0,0,0,0,0,0.0,1.26,0.0,1176.0,98,0.6,1176.0
sda,0,0,0,0,0,0.0,1.26,0.0,1193.9,99.49,0.6,1193.9
sda,0,0,0,0,0,0.0,1.26,0.0,1179.0,98.25,0.6,1179.0
sda,0,0,0,0,0,0.0,1.26,0.0,1184.9,98.74,0.6,1184.9
sda,2,0,12,0,12,0.0,1.26,15.1,1161.0,96.75,0.6,1176.1
sda,0,0,0,0,0,0.0,1.26,0.0,1184.9,98.74,0.6,1184.9
