['Device', 'tps', 'kB_read/s', 'kB_wrtn/s', 'kb_read', 'kB_wrtn'],P.Read,Power const.,P.Write,P.Idle,%idle,Idle const,Total Power
sda,52.68,1543.24,2092,14224893,19283125,1944.5,1.26,2635.9,1504.3,83.57,0.6,6084.7
sda,4,72,0,72,0,90.7,1.26,0.0,1681.6,93.42,0.6,1772.3
sda,367,40452,11688,40452,11688,50969.5,1.26,14726.9,1440.0,80,0.6,67136.4
sda,254,26624,25316,26624,25316,33546.2,1.26,31898.2,1330.7,73.93,0.6,66775.1
sda,243,24580,33584,24580,33584,30970.8,1.26,42315.8,1157.8,64.32,0.6,74444.4
sda,273,28184,26760,28184,26760,35511.8,1.26,33717.6,1308.2,72.68,0.6,70537.7
sda,185,17664,20284,17664,20284,22256.6,1.26,25557.8,1126.6,62.59,0.6,48941.1
sda,254,25344,28136,25344,28136,31933.4,1.26,35451.4,1337.4,74.3,0.6,68722.2
sda,206,20520,21772,20520,21772,25855.2,1.26,27432.7,1328.4,73.8,0.6,54616.3
sda,168,13316,36356,13316,36356,16778.2,1.26,45808.6,1262.3,70.13,0.6,63849.1
sda,335,37400,17960,37400,17960,47124.0,1.26,22629.6,1201.5,66.75,0.6,70955.1
sda,187,17932,17792,17932,17792,22594.3,1.26,22417.9,1095.3,60.85,0.6,46107.5
sda,283,29064,32876,29064,32876,36620.6,1.26,41423.8,1327.3,73.74,0.6,79371.7
sda,195,17212,35800,17212,35800,21687.1,1.26,45108.0,1269.5,70.53,0.6,68064.7
sda,218,5052,10088,5052,10088,6365.5,1.26,12710.9,1402.0,77.89,0.6,20478.4
sda,0,0,0,0,0,0.0,1.26,0.0,1781.8,98.99,0.6,1781.8
sda,3,4,40,4,40,5.0,1.26,50.4,1750.7,97.26,0.6,1806.1
sda,3,12,0,12,0,15.1,1.26,0.0,1768.5,98.25,0.6,1783.6
sda,0,0,0,0,0,0.0,1.26,0.0,1773.2,98.51,0.6,1773.2
sda,1,4,0,4,0,5.0,1.26,0.0,1773.0,98.5,0.6,1778.0
sda,52.78,1566.87,2112.18,14547393,19610217,1974.3,1.26,2661.3,1505.2,83.62,0.6,6140.8
sda,13,408,0,408,0,514.1,1.26,0.0,1615.0,89.72,0.6,2129.0
sda,155,12300,40,12300,40,15498.0,1.26,50.4,1265.8,70.32,0.6,16814.2
sda,280,27776,32780,27776,32780,34997.8,1.26,41302.8,1325.2,73.62,0.6,77625.7
sda,322,37888,14068,37888,14068,47738.9,1.26,17725.7,1292.2,71.79,0.6,66756.8
sda,238,24980,24580,24980,24580,31474.8,1.26,30970.8,1326.2,73.68,0.6,63771.8
sda,245,26500,24656,26500,24656,33390.0,1.26,31066.6,1333.1,74.06,0.6,65789.6
sda,280,29056,26412,29056,26412,36610.6,1.26,33279.1,1305.7,72.54,0.6,71195.4
sda,217,19200,37508,19200,37508,24192.0,1.26,47260.1,1321.7,73.43,0.6,72773.8
sda,368,39568,28764,39568,28764,49855.7,1.26,36242.6,1314.9,73.05,0.6,87413.2
sda,236,25344,20128,25344,20128,31933.4,1.26,25361.3,1293.5,71.86,0.6,58588.2
sda,147,13068,24352,13068,24352,16465.7,1.26,30683.5,1126.1,62.56,0.6,48275.3
sda,268,27908,26128,27908,26128,35164.1,1.26,32921.3,1293.5,71.86,0.6,69378.8
sda,279,24848,29556,24848,29556,31308.5,1.26,37240.6,1139.8,63.32,0.6,69688.8
sda,68,1312,34764,1312,34764,1653.1,1.26,43802.6,1039.5,57.75,0.6,46495.3
sda,109,6872,1176,6872,1176,8658.7,1.26,1481.8,1198.4,66.58,0.6,11338.9
sda,94,6128,0,6128,0,7721.3,1.26,0.0,1263.2,70.18,0.6,8984.5
sda,396,35080,14260,35080,14260,44200.8,1.26,17967.6,1284.5,71.36,0.6,63452.9
sda,263,26548,25888,26548,25888,33450.5,1.26,32618.9,1301.8,72.32,0.6,67371.1
sda,135,7812,45312,7812,45312,9843.1,1.26,57093.1,1338.7,74.37,0.6,68274.9
sda,402,45696,14336,45696,14336,57577.0,1.26,18063.4,1326.2,73.68,0.6,76966.6
sda,240,24832,25116,24832,25116,31288.3,1.26,31646.2,1328.4,73.8,0.6,64262.9
sda,245,24936,24864,24936,24864,31419.4,1.26,31328.6,1136.9,63.16,0.6,63884.9
sda,230,24192,24624,24192,24624,30481.9,1.26,31026.2,1292.2,71.79,0.6,62800.4
sda,169,12736,44408,12736,44408,16047.4,1.26,55954.1,1273.5,70.75,0.6,73274.9
sda,376,44808,14228,44808,14228,56458.1,1.26,17927.3,1330.6,73.92,0.6,75715.9
sda,184,15012,42460,15012,42460,18915.1,1.26,53499.6,1334.2,74.12,0.6,73748.9
sda,128,1960,5388,1960,5388,2469.6,1.26,6788.9,1002.1,55.67,0.6,10260.5
sda,327,8540,0,8540,0,10760.4,1.26,0.0,1497.1,83.17,0.6,12257.5
sda,0,0,0,0,0,0.0,1.26,0.0,1772.8,98.49,0.6,1772.8
