['Device', 'tps', 'kB_read/s', 'kB_wrtn/s', 'kb_read', 'kB_wrtn'],P.Read,Power const.,P.Write,P.Idle,%idle,Idle const,Total Power
sda,53.45,1625.5,2159.19,15256953,20266089,2048.1,1.26,2720.6,1003.2,83.6,0.6,5771.9
sda,2,16,0,16,0,20.2,1.26,0.0,1100.8,91.73,0.6,1120.9
sda,203,19116,0,19116,0,24086.2,1.26,0.0,882.5,73.54,0.6,24968.6
sda,327,36228,24580,36228,24580,45647.3,1.26,30970.8,890.9,74.24,0.6,77509.0
sda,235,24448,24584,24448,24584,30804.5,1.26,30975.8,882.6,73.55,0.6,62662.9
sda,138,12320,23192,12320,23192,15523.2,1.26,29221.9,697.8,58.15,0.6,45442.9
sda,286,32552,18564,32552,18564,41015.5,1.26,23390.6,651.2,54.27,0.6,65057.4
sda,242,25348,24712,25348,24712,31938.5,1.26,31137.1,852.0,71,0.6,63927.6
sda,263,29184,24584,29184,24584,36771.8,1.26,30975.8,876.6,73.05,0.6,68624.3
sda,272,29700,24580,29700,24580,37422.0,1.26,30970.8,882.6,73.55,0.6,69275.4
sda,263,24704,41412,24704,41412,31127.0,1.26,52179.1,878.2,73.18,0.6,84184.3
sda,86,5384,27548,5384,27548,6783.8,1.26,34710.5,613.6,51.13,0.6,42107.9
sda,383,45332,13488,45332,13488,57118.3,1.26,16994.9,872.2,72.68,0.6,74985.4
sda,189,15036,45736,15036,45736,18945.4,1.26,57627.4,882.8,73.57,0.6,77455.6
sda,24,208,8744,208,8744,262.1,1.26,11017.4,1094.5,91.21,0.6,12374.0
sda,28,392,0,392,0,493.9,1.26,0.0,1172.8,97.73,0.6,1666.7
sda,2,0,36,0,36,0.0,1.26,45.4,1170.0,97.5,0.6,1215.4
sda,3,20,0,20,0,25.2,1.26,0.0,1178.8,98.23,0.6,1204.0
sda,0,0,0,0,0,0.0,1.26,0.0,1173.1,97.76,0.6,1173.1
sda,10,152,0,152,0,191.5,1.26,0.0,1164.0,97,0.6,1355.5
