['Device', 'tps', 'kB_read/s', 'kB_wrtn/s', 'kb_read', 'kB_wrtn'],P.Read,Power const.,P.Write,P.Idle,% idle,Idle const,Total Power
sda,236,7580,20,7580,20,9550.8,1.26,25.2,4130.4,34.42,0.6,13706.4
sda,302,13696,0,13696,0,17257.0,1.26,0.0,5564.4,46.37,0.6,22821.4
sda,259,2372,0,2372,0,2988.7,1.26,0.0,2787.6,23.23,0.6,5776.3
sda,188,3072,0,3072,0,3870.7,1.26,0.0,3156.0,26.3,0.6,7026.7
sda,213,584,42940,584,42940,735.8,1.26,54104.4,2841.6,23.68,0.6,57681.8
sda,150,2332,12,2332,12,2938.3,1.26,15.1,750.0,6.25,0.6,3703.4
sda,392,540,56912,540,56912,680.4,1.26,71709.1,265.2,2.21,0.6,72654.7
sda,89,160,34004,160,34004,201.6,1.26,42845.0,0.0,0,0.6,43046.6
sda,96.04,122.77,47065.35,124,47536,154.7,1.26,59302.3,681.6,5.68,0.6,60138.6
sda,79.8,24.24,46501.01,24,46036,30.5,1.26,58591.3,3000.0,25,0.6,61621.8
