['Device', 'tps', 'kB_read/s', 'kB_wrtn/s', 'kb_read', 'kB_wrtn'],P.Read,Power const.,P.Write,P.Idle,% idle,Idle const,Total Power
sda,8.22,160.6,405.26,724445,1828077,202.4,1.26,510.6,1151.3,95.94,0.6,1864.3
sda,0,0,0,0,0,0,1.26,0,1145.8,95.48,0.6,1145.8
sda,4,0,132,0,132,0,1.26,166.3,1136.9,94.74,0.6,1303.2
sda,0,0,0,0,0,0,1.26,0,891.7,74.31,0.6,891.7
sda,11,0,10880,0,10880,0,1.26,13708.8,1014,84.5,0.6,14722.8
sda,7,0,36800,0,36800,0,1.26,46368,1191,99.25,0.6,47559
sda,8,0,54724,0,54724,0,1.26,68952.2,1197,99.75,0.6,70149.2
sda,2,0,64,0,64,0,1.26,80.6,1182,98.5,0.6,1262.6
sda,0,0,0,0,0,0,1.26,0,1194,99.5,0.6,1194
sda,0,0,0,0,0,0,1.26,0,1194,99.5,0.6,1194
sda,0,0,0,0,0,0,1.26,0,1200,100,0.6,1200
sda,0,0,0,0,0,0,1.26,0,1200,100,0.6,1200
sda,0,0,0,0,0,0,1.26,0,1197,99.75,0.6,1197
sda,2,0,12,0,12,0,1.26,15.1,1166.9,97.24,0.6,1182
sda,0,0,0,0,0,0,1.26,0,1200,100,0.6,1200
sda,0,0,0,0,0,0,1.26,0,1200,100,0.6,1200
sda,0,0,0,0,0,0,1.26,0,1200,100,0.6,1200
sda,0,0,0,0,0,0,1.26,0,1194,99.5,0.6,1194
sda,2,0,12,0,12,0,1.26,15.1,1188,99,0.6,1203.1
sda,0,0,0,0,0,0,1.26,0,1200,100,0.6,1200
