['Device', 'tps', 'kB_read/s', 'kB_wrtn/s', 'kb_read', 'kB_wrtn'],P.Read,Power const.,P.Write,P.Idle,% idle,Idle const,Total Power
sda,8.57,131.19,378.62,788029,2274237,165.3,1.26,477.1,1161.1,96.76,0.6,1803.5
sda,40,0,200,0,200,0.0,1.26,252.0,1125.6,93.8,0.6,1377.6
sda,280,35444,0,35444,0,44659.4,1.26,0.0,992.5,82.71,0.6,45652.0
sda,480,61056,0,61056,0,76930.6,1.26,0.0,894.0,74.5,0.6,77824.6
sda,484,61568,0,61568,0,77575.7,1.26,0.0,895.4,74.62,0.6,78471.1
sda,497,63488,76,63488,76,79994.9,1.26,95.8,885.8,73.82,0.6,80976.5
sda,485,62208,4,62208,4,78382.1,1.26,5.0,897.0,74.75,0.6,79284.1
sda,80,1152,61368,1152,61368,1451.5,1.26,77323.7,898.4,74.87,0.6,79673.6
sda,344,42368,12416,42368,12416,53383.7,1.26,15644.2,891.0,74.25,0.6,69918.8
sda,344,40832,24512,40832,24512,51448.3,1.26,30885.1,896.3,74.69,0.6,83229.7
sda,314,36736,24584,36736,24584,46287.4,1.26,30975.8,891.0,74.25,0.6,78154.2
sda,134,13824,24680,13824,24680,17418.2,1.26,31096.8,696.5,58.04,0.6,49211.5
sda,225,23296,45056,23296,45056,29353.0,1.26,56770.6,706.8,58.9,0.6,86830.3
sda,55,256,56544,256,56544,322.6,1.26,71245.4,777.8,64.82,0.6,72345.8
sda,51,384,49216,384,49216,483.8,1.26,62012.2,826.0,68.83,0.6,63322.0
sda,63,384,54860,384,54860,483.8,1.26,69123.6,898.4,74.87,0.6,70505.9
sda,69,256,55060,256,55060,322.6,1.26,69375.6,600.0,50,0.6,70298.2
sda,140,13056,34716,13056,34716,16450.6,1.26,43742.2,695.2,57.93,0.6,60887.9
sda,498,63744,0,63744,0,80317.4,1.26,0.0,888.7,74.06,0.6,81206.2
sda,467,57252,17236,57252,17236,72137.5,1.26,21717.4,898.4,74.87,0.6,94753.3
