['Device', 'tps', 'kB_read/s', 'kB_wrtn/s', 'kb_read', 'kB_wrtn'],P.Read,Power const.,P.Write,P.Idle,% idle,Idle const,Total Power
sda,17.47,804.94,1442.41,3382721,6061673,1014.2,1.26,1817.4,1123.1,93.59,0.6,3954.7
sda,0,0,0,0,0,0.0,1.26,0.0,1151.8,95.98,0.6,1151.8
sda,2,0,76,0,76,0.0,1.26,95.8,903.0,75.25,0.6,998.8
sda,1,0,12,0,12,0.0,1.26,15.1,891.7,74.31,0.6,906.8
sda,0,0,0,0,0,0.0,1.26,0.0,897.0,74.75,0.6,897.0
sda,0,0,0,0,0,0.0,1.26,0.0,896.3,74.69,0.6,896.3
sda,99,0,46476,0,46476,0.0,1.26,58559.8,893.3,74.44,0.6,59453.0
sda,68,0,52004,0,52004,0.0,1.26,65525.0,855.0,71.25,0.6,66380.0
sda,83,8,57448,8,57448,10.1,1.26,72384.5,666.4,55.53,0.6,73060.9
sda,40,4,66880,4,66880,5.0,1.26,84268.8,639.2,53.27,0.6,84913.1
sda,28,0,64864,0,64864,0.0,1.26,81728.6,591.0,49.25,0.6,82319.6
sda,30,0,66880,0,66880,0.0,1.26,84268.8,597.0,49.75,0.6,84865.8
sda,24,0,55160,0,55160,0.0,1.26,69501.6,724.8,60.4,0.6,70226.4
sda,0,0,0,0,0,0.0,1.26,0.0,899.3,74.94,0.6,899.3
sda,2,0,52,0,52,0.0,1.26,65.5,870.8,72.57,0.6,936.4
sda,0,0,0,0,0,0.0,1.26,0.0,896.3,74.69,0.6,896.3
sda,21,0,18100,0,18100,0.0,1.26,22806.0,894.0,74.5,0.6,23700.0
sda,87,3916,52520,3916,52520,4934.2,1.26,66175.2,896.3,74.69,0.6,72005.6
sda,480,26516,27832,26516,27832,33410.2,1.26,35068.3,912.0,76,0.6,69390.5
sda,429,23692,32820,23692,32820,29851.9,1.26,41353.2,789.0,65.75,0.6,71994.1
sda,613,33516,33024,33516,33024,42230.2,1.26,41610.2,804.0,67,0.6,84644.4
sda,240,12176,33800,12176,33800,15341.8,1.26,42588.0,898.4,74.87,0.6,58828.2
sda,588,31896,28416,31896,28416,40189.0,1.26,35804.2,804.0,67,0.6,76797.1
sda,17,124,68224,124,68224,156.2,1.26,85962.2,899.3,74.94,0.6,87017.8
sda,25,4,61540,4,61540,5.0,1.26,77540.4,838.2,69.85,0.6,78383.6
sda,75,492,60036,492,60036,619.9,1.26,75645.4,733.8,61.15,0.6,76999.1
sda,73,492,57344,492,57344,619.9,1.26,72253.4,903.7,75.31,0.6,73777.1
sda,690,37356,10912,37356,10912,47068.6,1.26,13749.1,890.3,74.19,0.6,61708.0
sda,968,53032,4312,53032,4312,66820.3,1.26,5433.1,897.7,74.81,0.6,73151.2
sda,929,50820,3168,50820,3168,64033.2,1.26,3991.7,859.3,71.61,0.6,68884.2
sda,1071,58556,3724,58556,3724,73780.6,1.26,4692.2,897.7,74.81,0.6,79370.5
sda,1100,60272,2300,60272,2300,75942.7,1.26,2898.0,897.7,74.81,0.6,79738.4
sda,321,15224,35224,15224,35224,19182.2,1.26,44382.2,893.3,74.44,0.6,64457.8
sda,505,26052,32772,26052,32772,32825.5,1.26,41292.7,896.3,74.69,0.6,75014.5
sda,602,32012,25040,32012,25040,40335.1,1.26,31550.4,893.3,74.44,0.6,72778.8
sda,569,30320,20452,30320,20452,38203.2,1.26,25769.5,850.2,70.85,0.6,64822.9
sda,84,128,64192,128,64192,161.3,1.26,80881.9,717.6,59.8,0.6,81760.8
sda,103,244,67552,244,67552,307.4,1.26,85115.5,712.8,59.4,0.6,86135.8
sda,86,496,56208,496,56208,625.0,1.26,70822.1,794.0,66.17,0.6,72241.1
sda,98.02,487.13,62225.74,492,62848,613.8,1.26,78404.4,894.7,74.56,0.6,79912.9
sda,517,27620,19248,27620,19248,34801.2,1.26,24252.5,739.8,61.65,0.6,59793.5
sda,1072,60044,0,60044,0,75655.4,1.26,0.0,895.4,74.62,0.6,76550.9
sda,1089,61116,0,61116,0,77006.2,1.26,0.0,895.4,74.62,0.6,77901.6
sda,1084,60028,636,60028,636,75635.3,1.26,801.4,892.4,74.37,0.6,77329.1
sda,1056,58660,328,58660,328,73911.6,1.26,413.3,893.3,74.44,0.6,75218.2
sda,224,9808,32808,9808,32808,12358.1,1.26,41338.1,893.3,74.44,0.6,54589.4
sda,462,23444,32892,23444,32892,29539.4,1.26,41443.9,895.4,74.62,0.6,71878.8
sda,588,29168,39652,29168,39652,36751.7,1.26,49961.5,895.4,74.62,0.6,87608.6
sda,595,31116,26688,31116,26688,39206.2,1.26,33626.9,896.3,74.69,0.6,73729.3
sda,71,376,55328,376,55328,473.8,1.26,69713.3,714.6,59.55,0.6,70901.6
sda,72,244,62848,244,62848,307.4,1.26,79188.5,600.0,50,0.6,80095.9
sda,68,0,62216,0,62216,0.0,1.26,78392.2,606.0,50.5,0.6,78998.2
sda,67,736,53860,736,53860,927.4,1.26,67863.6,817.1,68.09,0.6,69608.0
sda,758,40920,24512,40920,24512,51559.2,1.26,30885.1,896.3,74.69,0.6,83340.6
sda,915,50532,1240,50532,1240,63670.3,1.26,1562.4,895.4,74.62,0.6,66128.2
sda,796,42964,16952,42964,16952,54134.6,1.26,21359.5,872.2,72.68,0.6,76366.3
sda,1089,61012,0,61012,0,76875.1,1.26,0.0,893.3,74.44,0.6,77768.4
sda,1072,59540,1020,59540,1020,75020.4,1.26,1285.2,889.4,74.12,0.6,77195.0
sda,352,17932,27056,17932,27056,22594.3,1.26,34090.6,897.0,74.75,0.6,57581.9
sda,619,32164,32220,32164,32220,40526.6,1.26,40597.2,888.7,74.06,0.6,82012.6
sda,511,27500,14192,27500,14192,34650.0,1.26,17881.9,777.0,64.75,0.6,53308.9
sda,567,29252,32768,29252,32768,36857.5,1.26,41287.7,895.4,74.62,0.6,79040.6
sda,178,6260,45520,6260,45520,7887.6,1.26,57355.2,896.3,74.69,0.6,66139.1
sda,63,372,45664,372,45664,468.7,1.26,57536.6,886.4,73.87,0.6,58891.8
sda,74,264,53984,264,53984,332.6,1.26,68019.8,745.9,62.16,0.6,69098.4
sda,77,108,60032,108,60032,136.1,1.26,75640.3,601.6,50.13,0.6,76378.0
sda,86,244,58064,244,58064,307.4,1.26,73160.6,453.4,37.78,0.6,73921.4
sda,139,6088,23720,6088,23720,7670.9,1.26,29887.2,1017.5,84.79,0.6,38575.6
sda,0,0,0,0,0,0.0,1.26,0.0,1200.0,100,0.6,1200.0
sda,0,0,0,0,0,0.0,1.26,0.0,1188.0,99,0.6,1188.0
