6.31,0.00,1.81,9.11,0.00,82.77,
2.00,0.00,1.00,9.00,0.00,88.00,
2.03,0.00,0.76,35.44,0.00,61.77,
6.58,0.00,1.77,16.46,0.00,75.19,
7.36,0.00,1.78,15.99,0.00,74.87,
8.40,0.00,2.29,15.52,0.00,73.79,
8.12,0.00,2.54,17.77,0.00,71.57,
8.98,0.00,1.25,15.21,0.00,74.56,
6.85,0.00,1.78,15.48,0.00,75.89,
7.73,0.00,2.24,15.71,0.00,74.31,
9.00,0.00,1.25,15.00,0.00,74.75,
7.83,0.00,1.77,15.15,0.00,75.25,
3.29,0.00,1.77,19.24,0.00,75.70,
1.25,0.00,1.50,22.56,0.00,74.69,
1.76,0.00,1.51,21.36,0.00,75.38,
1.51,0.00,1.51,22.11,0.00,74.87,
2.01,0.00,1.26,25.63,0.00,71.11,
1.52,0.00,1.77,21.21,0.00,75.51,
2.50,0.00,1.25,21.25,0.00,75.00,
2.03,0.00,1.27,21.27,0.00,75.44,
1.01,0.00,2.53,21.72,0.00,74.75,
2.01,0.00,1.50,21.80,0.00,74.69,
3.02,0.00,1.01,20.91,0.00,75.06,
2.74,0.00,3.24,19.45,0.00,74.56,
2.26,0.00,1.01,21.86,0.00,74.87,
1.75,0.00,2.26,21.80,0.00,74.19,
1.75,0.00,1.50,22.31,0.00,74.44,
1.75,0.00,1.25,22.31,0.00,74.69,
0.51,0.00,0.77,22.51,0.00,76.21,
2.76,0.00,1.50,21.55,0.00,74.19,
1.26,0.00,1.51,22.17,0.00,75.06,
1.27,0.00,1.77,22.03,0.00,74.94,
0.26,0.00,1.02,22.51,0.00,76.21,
1.75,0.00,2.01,21.55,0.00,74.69,
4.28,0.00,5.79,14.86,0.00,75.06,
23.62,0.00,2.01,0.75,0.00,73.62,
25.06,0.00,0.00,2.01,0.00,72.93,
24.94,0.00,0.25,0.00,0.00,74.81,
25.06,0.00,0.00,0.00,0.00,74.94,
25.00,0.00,0.00,0.00,0.00,75.00,
25.06,0.00,0.00,0.00,0.00,74.94,
25.00,0.00,0.00,3.25,0.00,71.75,
25.06,0.00,0.00,0.00,0.00,74.94,
25.12,0.00,0.00,0.25,0.00,74.63,
25.06,0.00,0.00,0.00,0.00,74.94,
25.06,0.00,0.00,0.00,0.00,74.94,
25.00,0.00,0.00,1.00,0.00,74.00,
25.06,0.00,0.00,0.00,0.00,74.94,
25.00,0.00,0.00,0.00,0.00,75.00,
25.25,0.00,0.75,22.25,0.00,51.75,
25.19,0.00,0.25,4.74,0.00,69.83,
25.06,0.00,0.00,1.50,0.00,73.43,
25.06,0.00,0.00,0.00,0.00,74.94,
