['Device', 'tps', 'kB_read/s', 'kB_wrtn/s', 'kb_read', 'kB_wrtn'],P.Read,Power const.,P.Write,P.Idle,%idle,Idle const,Total Power
sda,81.59,2519.62,1341.8,58796289,31311309,3174.7,1.26,1690.7,30522.6,82.05,0.6,35388.0
sda,9,48,0,48,0,60.5,1.26,0.0,35336.3,94.99,0.6,35396.8
sda,484,3532,0,3532,0,4450.3,1.26,0.0,25173.2,67.67,0.6,29623.6
sda,564,3372,28,3372,28,4248.7,1.26,35.3,24462.7,65.76,0.6,28746.7
sda,499,47216,0,47216,0,59492.2,1.26,0.0,27851.6,74.87,0.6,87343.8
sda,523,66816,0,66816,0,84188.2,1.26,0.0,28134.4,75.63,0.6,112322.5
sda,507,64256,0,64256,0,80962.6,1.26,0.0,27900.0,75,0.6,108862.6
sda,495,62592,0,62592,0,78865.9,1.26,0.0,28134.4,75.63,0.6,107000.3
sda,484,61440,28,61440,28,77414.4,1.26,35.3,27572.6,74.12,0.6,105022.3
sda,503,63876,0,63876,0,80483.8,1.26,0.0,27851.6,74.87,0.6,108335.4
sda,501,63616,0,63616,0,80156.2,1.26,0.0,28015.3,75.31,0.6,108171.5
sda,527,66176,44,66176,44,83381.8,1.26,55.4,27784.7,74.69,0.6,111221.9
sda,518,66304,0,66304,0,83543.0,1.26,0.0,27762.4,74.63,0.6,111305.4
sda,455,58112,20,58112,20,73221.1,1.26,25.2,27877.7,74.94,0.6,101124.0
sda,515,65920,0,65920,0,83059.2,1.26,0.0,27948.4,75.13,0.6,111007.6
sda,516,66048,0,66048,0,83220.5,1.26,0.0,28015.3,75.31,0.6,111235.8
sda,515,65920,0,65920,0,83059.2,1.26,0.0,28089.7,75.51,0.6,111148.9
sda,516,66048,0,66048,0,83220.5,1.26,0.0,28015.3,75.31,0.6,111235.8
sda,487,62336,12,62336,12,78543.4,1.26,15.1,27621.0,74.25,0.6,106179.5
sda,516,66048,0,66048,0,83220.5,1.26,0.0,28015.3,75.31,0.6,111235.8
sda,515,65920,0,65920,0,83059.2,1.26,0.0,27829.3,74.81,0.6,110888.5
sda,516,66048,0,66048,0,83220.5,1.26,0.0,27736.3,74.56,0.6,110956.8
sda,509,65024,0,65024,0,81930.2,1.26,0.0,27900.0,75,0.6,109830.2
sda,484,61824,12,61824,12,77898.2,1.26,15.1,27758.6,74.62,0.6,105672.0
sda,517,66176,0,66176,0,83381.8,1.26,0.0,27993.0,75.25,0.6,111374.8
sda,516,66048,0,66048,0,83220.5,1.26,0.0,27598.7,74.19,0.6,110819.2
sda,473,60032,0,60032,0,75640.3,1.26,0.0,27784.7,74.69,0.6,103425.0
sda,516,66048,0,66048,0,83220.5,1.26,0.0,28089.7,75.51,0.6,111310.2
sda,487,62336,12,62336,12,78543.4,1.26,15.1,27970.7,75.19,0.6,106529.2
sda,515,65920,0,65920,0,83059.2,1.26,0.0,27970.7,75.19,0.6,111029.9
sda,516,66048,0,66048,0,83220.5,1.26,0.0,27970.7,75.19,0.6,111191.2
sda,515,65920,0,65920,0,83059.2,1.26,0.0,27970.7,75.19,0.6,111029.9
sda,516,66048,0,66048,0,83220.5,1.26,0.0,27877.7,74.94,0.6,111098.2
sda,465,59488,12,59488,12,74954.9,1.26,15.1,27431.3,73.74,0.6,102401.3
sda,515,65792,0,65792,0,82897.9,1.26,0.0,27900.0,75,0.6,110797.9
sda,505,63772,0,63772,0,80352.7,1.26,0.0,27993.0,75.25,0.6,108345.7
sda,512,65408,0,65408,0,82414.1,1.26,0.0,27922.3,75.06,0.6,110336.4
sda,516,66048,0,66048,0,83220.5,1.26,0.0,27877.7,74.94,0.6,111098.2
sda,481,61568,12,61568,12,77575.7,1.26,15.1,27498.2,73.92,0.6,105089.0
sda,505,64200,16,64200,16,80892.0,1.26,20.2,27323.4,73.45,0.6,108235.6
sda,293,34464,8,34464,8,43424.6,1.26,10.1,25839.1,69.46,0.6,69273.8
sda,155,14604,0,14604,0,18401.0,1.26,0.0,26017.7,69.94,0.6,44418.7
