['Device', 'tps', 'kB_read/s', 'kB_wrtn/s', 'kb_read', 'kB_wrtn'],P.Read,Power const.,P.Write,P.Idle,%idle,Idle const,Total Power
sda,77.59,2275.19,899.75,40844561,16152437,2866.7,1.26,1133.7,2914.6,80.96,0.6,6915.0
sda,10,44,0,44,0,55.4,1.26,0.0,3247.2,90.2,0.6,3302.6
sda,2,12,0,12,0,15.1,1.26,0.0,2547.0,70.75,0.6,2562.1
sda,0,0,0,0,0,0.0,1.26,0.0,2599.9,72.22,0.6,2599.9
sda,0,0,0,0,0,0.0,1.26,0.0,2580.5,71.68,0.6,2580.5
sda,301,14144,4,14144,4,17821.4,1.26,5.0,2556.0,71,0.6,20382.5
sda,2,0,36,0,36,0.0,1.26,45.4,2581.9,71.72,0.6,2627.3
sda,0,0,0,0,0,0.0,1.26,0.0,2605.0,72.36,0.6,2605.0
sda,0,0,0,0,0,0.0,1.26,0.0,2607.5,72.43,0.6,2607.5
sda,0,0,0,0,0,0.0,1.26,0.0,2581.6,71.71,0.6,2581.6
sda,0,0,0,0,0,0.0,1.26,0.0,2611.4,72.54,0.6,2611.4
sda,2,0,12,0,12,0.0,1.26,15.1,2550.6,70.85,0.6,2565.7
sda,0,0,0,0,0,0.0,1.26,0.0,2592.0,72,0.6,2592.0
sda,0,0,0,0,0,0.0,1.26,0.0,2601.0,72.25,0.6,2601.0
sda,0,0,0,0,0,0.0,1.26,0.0,2633.8,73.16,0.6,2633.8
sda,0,0,0,0,0,0.0,1.26,0.0,2620.8,72.8,0.6,2620.8
sda,2,0,12,0,12,0.0,1.26,15.1,2580.5,71.68,0.6,2595.6
sda,0,0,0,0,0,0.0,1.26,0.0,2590.6,71.96,0.6,2590.6
sda,0,0,0,0,0,0.0,1.26,0.0,2620.8,72.8,0.6,2620.8
sda,0,0,0,0,0,0.0,1.26,0.0,2623.0,72.86,0.6,2623.0
sda,0,0,0,0,0,0.0,1.26,0.0,2623.0,72.86,0.6,2623.0
sda,2,0,12,0,12,0.0,1.26,15.1,2593.4,72.04,0.6,2608.6
sda,0,0,0,0,0,0.0,1.26,0.0,2623.0,72.86,0.6,2623.0
sda,0,0,0,0,0,0.0,1.26,0.0,2616.5,72.68,0.6,2616.5
sda,0,0,0,0,0,0.0,1.26,0.0,2607.5,72.43,0.6,2607.5
sda,0,0,0,0,0,0.0,1.26,0.0,2607.5,72.43,0.6,2607.5
sda,2,0,12,0,12,0.0,1.26,15.1,2593.4,72.04,0.6,2608.6
sda,0,0,0,0,0,0.0,1.26,0.0,2610.0,72.5,0.6,2610.0
sda,8,0,36,0,36,0.0,1.26,45.4,2614.0,72.61,0.6,2659.3
sda,0,0,0,0,0,0.0,1.26,0.0,2611.4,72.54,0.6,2611.4
sda,1,0,12,0,12,0.0,1.26,15.1,2560.0,71.11,0.6,2575.1
sda,1,0,4,0,4,0.0,1.26,5.0,2566.1,71.28,0.6,2571.1
sda,76,0,47716,0,47716,0.0,1.26,60122.2,2597.4,72.15,0.6,62719.6
sda,86,8,50668,8,50668,10.1,1.26,63841.7,2623.0,72.86,0.6,66474.7
sda,35,0,42308,0,42308,0.0,1.26,53308.1,2618.3,72.73,0.6,55926.4
sda,7,0,66880,0,66880,0.0,1.26,84268.8,2625.5,72.93,0.6,86894.3
sda,8,8,26076,8,26076,10.1,1.26,32855.8,2262.2,62.84,0.6,35128.1
sda,10,0,976,0,976,0.0,1.26,1229.8,2553.5,70.93,0.6,3783.2
sda,38,0,30868,0,30868,0.0,1.26,38893.7,2575.4,71.54,0.6,41469.1
sda,15,0,57992,0,57992,0.0,1.26,73069.9,2584.4,71.79,0.6,75654.4
sda,45,4,49148,4,49148,5.0,1.26,61926.5,2163.6,60.1,0.6,64095.1
sda,82,0,72260,0,72260,0.0,1.26,91047.6,1728.0,48,0.6,92775.6
sda,26,4,14504,4,14504,5.0,1.26,18275.0,1967.0,54.64,0.6,20247.1
sda,32,0,21200,0,21200,0.0,1.26,26712.0,2587.0,71.86,0.6,29299.0
sda,89,4,60704,4,60704,5.0,1.26,76487.0,2560.0,71.11,0.6,79052.0
sda,58,0,40788,0,40788,0.0,1.26,51392.9,2567.5,71.32,0.6,53960.4
sda,68,252,160,252,160,317.5,1.26,201.6,2462.8,68.41,0.6,2981.9
sda,0,0,0,0,0,0.0,1.26,0.0,2596.0,72.11,0.6,2596.0
sda,2,8,0,8,0,10.1,1.26,0.0,3242.9,90.08,0.6,3253.0
sda,0,0,0,0,0,0.0,1.26,0.0,3518.3,97.73,0.6,3518.3
sda,0,0,0,0,0,0.0,1.26,0.0,3439.1,95.53,0.6,3439.1
sda,5,60,0,60,0,75.6,1.26,0.0,3327.8,92.44,0.6,3403.4
sda,50,200,40,200,40,252.0,1.26,50.4,3115.1,86.53,0.6,3417.5
sda,1,20,0,20,0,25.2,1.26,0.0,3201.1,88.92,0.6,3226.3
sda,0,0,0,0,0,0.0,1.26,0.0,3369.6,93.6,0.6,3369.6
sda,34,432,0,432,0,544.3,1.26,0.0,3034.8,84.3,0.6,3579.1
sda,38,160,0,160,0,201.6,1.26,0.0,3373.9,93.72,0.6,3575.5
sda,2,0,16,0,16,0.0,1.26,20.2,3368.2,93.56,0.6,3388.3
sda,417,1684,0,1684,0,2121.8,1.26,0.0,2809.1,78.03,0.6,4930.9
sda,206,940,0,940,0,1184.4,1.26,0.0,3079.1,85.53,0.6,4263.5
