['Device', 'tps', 'kB_read/s', 'kB_wrtn/s', 'kb_read', 'kB_wrtn'],P.Read,Power const.,P.Write,P.Idle,%idle,Idle const,Total Power
sda,0,0,0,0,0,0.0,1.26,0.0,17955.0,99.75,0.6,17955.0
sda,2,0,12,0,12,0.0,1.26,15.1,17910.0,99.5,0.6,17925.1
sda,0,0,0,0,0,0.0,1.26,0.0,17955.0,99.75,0.6,17955.0
sda,1,0,36,0,36,0.0,1.26,45.4,17955.0,99.75,0.6,18000.4
sda,0,0,0,0,0,0.0,1.26,0.0,17910.0,99.5,0.6,17910.0
sda,0,0,0,0,0,0.0,1.26,0.0,18000.0,100,0.6,18000.0
sda,2,0,24,0,24,0.0,1.26,30.2,17591.4,97.73,0.6,17621.6
sda,4,128,0,128,0,161.3,1.26,0.0,17402.4,96.68,0.6,17563.7
sda,3,0,12,0,12,0.0,1.26,15.1,17955.0,99.75,0.6,17970.1
sda,0,0,0,0,0,0.0,1.26,0.0,17955.0,99.75,0.6,17955.0
sda,0,0,0,0,0,0.0,1.26,0.0,17955.0,99.75,0.6,17955.0
sda,2,0,12,0,12,0.0,1.26,15.1,17775.0,98.75,0.6,17790.1
sda,0,0,0,0,0,0.0,1.26,0.0,17955.0,99.75,0.6,17955.0
sda,0,0,0,0,0,0.0,1.26,0.0,17865.0,99.25,0.6,17865.0
sda,0,0,0,0,0,0.0,1.26,0.0,18000.0,100,0.6,18000.0
sda,0,0,0,0,0,0.0,1.26,0.0,17910.0,99.5,0.6,17910.0
sda,2,0,12,0,12,0.0,1.26,15.1,17775.0,98.75,0.6,17790.1
sda,0,0,0,0,0,0.0,1.26,0.0,17910.0,99.5,0.6,17910.0
sda,0,0,0,0,0,0.0,1.26,0.0,17955.0,99.75,0.6,17955.0
sda,0,0,0,0,0,0.0,1.26,0.0,18000.0,100,0.6,18000.0
sda,0,0,0,0,0,0.0,1.26,0.0,18000.0,100,0.6,18000.0
sda,2,0,12,0,12,0.0,1.26,15.1,17775.0,98.75,0.6,17790.1
sda,0,0,0,0,0,0.0,1.26,0.0,18000.0,100,0.6,18000.0
sda,0,0,0,0,0,0.0,1.26,0.0,18000.0,100,0.6,18000.0
sda,0,0,0,0,0,0.0,1.26,0.0,18000.0,100,0.6,18000.0
sda,0,0,0,0,0,0.0,1.26,0.0,17910.0,99.5,0.6,17910.0
sda,2,0,12,0,12,0.0,1.26,15.1,17820.0,99,0.6,17835.1
sda,0,0,0,0,0,0.0,1.26,0.0,18000.0,100,0.6,18000.0
sda,0,0,0,0,0,0.0,1.26,0.0,17955.0,99.75,0.6,17955.0
sda,0,0,0,0,0,0.0,1.26,0.0,17955.0,99.75,0.6,17955.0
sda,0,0,0,0,0,0.0,1.26,0.0,18000.0,100,0.6,18000.0
sda,2,0,12,0,12,0.0,1.26,15.1,17865.0,99.25,0.6,17880.1
sda,0,0,0,0,0,0.0,1.26,0.0,18000.0,100,0.6,18000.0
sda,0,0,0,0,0,0.0,1.26,0.0,17955.0,99.75,0.6,17955.0
sda,0,0,0,0,0,0.0,1.26,0.0,17955.0,99.75,0.6,17955.0
sda,0,0,0,0,0,0.0,1.26,0.0,17955.0,99.75,0.6,17955.0
sda,2,0,12,0,12,0.0,1.26,15.1,17955.0,99.75,0.6,17970.1
sda,0,0,0,0,0,0.0,1.26,0.0,17955.0,99.75,0.6,17955.0
sda,1,0,40,0,40,0.0,1.26,50.4,18000.0,100,0.6,18050.4
sda,0,0,0,0,0,0.0,1.26,0.0,17910.0,99.5,0.6,17910.0
sda,0,0,0,0,0,0.0,1.26,0.0,18000.0,100,0.6,18000.0
sda,2,0,24,0,24,0.0,1.26,30.2,17775.0,98.75,0.6,17805.2
sda,0,0,0,0,0,0.0,1.26,0.0,18000.0,100,0.6,18000.0
sda,0,0,0,0,0,0.0,1.26,0.0,17910.0,99.5,0.6,17910.0
sda,0,0,0,0,0,0.0,1.26,0.0,18000.0,100,0.6,18000.0
sda,8,0,0,0,0,0.0,1.26,0.0,17955.0,99.75,0.6,17955.0
sda,2,0,12,0,12,0.0,1.26,15.1,17910.0,99.5,0.6,17925.1
sda,0,0,0,0,0,0.0,1.26,0.0,17955.0,99.75,0.6,17955.0
sda,0,0,0,0,0,0.0,1.26,0.0,17910.0,99.5,0.6,17910.0
sda,0,0,0,0,0,0.0,1.26,0.0,17955.0,99.75,0.6,17955.0
sda,0,0,0,0,0,0.0,1.26,0.0,17955.0,99.75,0.6,17955.0
sda,2,0,12,0,12,0.0,1.26,15.1,17640.0,98,0.6,17655.1
sda,0,0,0,0,0,0.0,1.26,0.0,17955.0,99.75,0.6,17955.0
sda,0,0,0,0,0,0.0,1.26,0.0,18000.0,100,0.6,18000.0
sda,0,0,0,0,0,0.0,1.26,0.0,17955.0,99.75,0.6,17955.0
sda,0,0,0,0,0,0.0,1.26,0.0,18000.0,100,0.6,18000.0
sda,2,0,12,0,12,0.0,1.26,15.1,17775.0,98.75,0.6,17790.1
sda,0,0,0,0,0,0.0,1.26,0.0,18000.0,100,0.6,18000.0
sda,0,0,0,0,0,0.0,1.26,0.0,18000.0,100,0.6,18000.0
sda,0,0,0,0,0,0.0,1.26,0.0,18000.0,100,0.6,18000.0
sda,1,4,0,4,0,5.0,1.26,0.0,17955.0,99.75,0.6,17960.0
sda,2,0,12,0,12,0.0,1.26,15.1,17865.0,99.25,0.6,17880.1
sda,0,0,0,0,0,0.0,1.26,0.0,17910.0,99.5,0.6,17910.0
sda,0,0,0,0,0,0.0,1.26,0.0,18000.0,100,0.6,18000.0
sda,0,0,0,0,0,0.0,1.26,0.0,17955.0,99.75,0.6,17955.0
sda,0,0,0,0,0,0.0,1.26,0.0,18000.0,100,0.6,18000.0
sda,2,0,12,0,12,0.0,1.26,15.1,17775.0,98.75,0.6,17790.1
sda,0,0,0,0,0,0.0,1.26,0.0,18000.0,100,0.6,18000.0
sda,0,0,0,0,0,0.0,1.26,0.0,17955.0,99.75,0.6,17955.0
sda,2,0,36,0,36,0.0,1.26,45.4,18000.0,100,0.6,18045.4
sda,0,0,0,0,0,0.0,1.26,0.0,18000.0,100,0.6,18000.0
sda,2,0,24,0,24,0.0,1.26,30.2,17685.0,98.25,0.6,17715.2
sda,0,0,0,0,0,0.0,1.26,0.0,17955.0,99.75,0.6,17955.0
sda,0,0,0,0,0,0.0,1.26,0.0,18000.0,100,0.6,18000.0
sda,3,0,12,0,12,0.0,1.26,15.1,17955.0,99.75,0.6,17970.1
sda,0,0,0,0,0,0.0,1.26,0.0,17955.0,99.75,0.6,17955.0
sda,2,0,12,0,12,0.0,1.26,15.1,17775.0,98.75,0.6,17790.1
sda,0,0,0,0,0,0.0,1.26,0.0,17910.0,99.5,0.6,17910.0
sda,0,0,0,0,0,0.0,1.26,0.0,18000.0,100,0.6,18000.0
sda,0,0,0,0,0,0.0,1.26,0.0,18000.0,100,0.6,18000.0
sda,0,0,0,0,0,0.0,1.26,0.0,17910.0,99.5,0.6,17910.0
