['Device', 'tps', 'kB_read/s', 'kB_wrtn/s', 'kb_read', 'kB_wrtn'],P.Read,Power const.,P.Write,P.Idle,%idle,Idle const,Total Power
sda,134.9,3725.28,1319.53,28084377,9947781,4693.9,1.26,1662.6,957.1,79.76,0.6,7313.6
sda,63,2232,0,2232,0,2812.3,1.26,0.0,1059.4,88.28,0.6,3871.7
sda,498,62648,0,62648,0,78936.5,1.26,0.0,906.1,75.51,0.6,79842.6
sda,342,40712,12440,40712,12440,51297.1,1.26,15674.4,897.0,74.75,0.6,67868.5
sda,35,0,22756,0,22756,0.0,1.26,28672.6,893.3,74.44,0.6,29565.8
sda,35,8,38368,8,38368,10.1,1.26,48343.7,895.4,74.62,0.6,49249.2
sda,37,4,32484,4,32484,5.0,1.26,40929.8,733.8,61.15,0.6,41668.7
sda,0,0,0,0,0,0.0,1.26,0.0,1194.0,99.5,0.6,1194.0
sda,0,0,0,0,0,0.0,1.26,0.0,1197.0,99.75,0.6,1197.0
sda,0,0,0,0,0,0.0,1.26,0.0,1197.0,99.75,0.6,1197.0
sda,2,0,12,0,12,0.0,1.26,15.1,1194.0,99.5,0.6,1209.1
sda,2,0,36,0,36,0.0,1.26,45.4,1182.0,98.5,0.6,1227.4
sda,0,0,0,0,0,0.0,1.26,0.0,1197.0,99.75,0.6,1197.0
sda,1,4,0,4,0,5.0,1.26,0.0,1188.0,99,0.6,1193.0
sda,103,772,0,772,0,972.7,1.26,0.0,826.1,68.84,0.6,1798.8
sda,242,2636,0,2636,0,3321.4,1.26,0.0,196.0,16.33,0.6,3517.3
sda,150,2056,0,2056,0,2590.6,1.26,0.0,547.3,45.61,0.6,3137.9
sda,189,956,208,956,208,1204.6,1.26,262.1,1083.0,90.25,0.6,2549.6
sda,32,152,0,152,0,191.5,1.26,0.0,1148.6,95.72,0.6,1340.2
sda,0,0,0,0,0,0.0,1.26,0.0,1200.0,100,0.6,1200.0
