['Device', 'tps', 'kB_read/s', 'kB_wrtn/s', 'kb_read', 'kB_wrtn'],P.Read,Power const.,P.Write,P.Idle,%idle,Idle const,Total Power
sda,133.09,3682.06,1313.01,28198801,10055617,4639.4,1.26,1654.4,1440.0,80,0.6,7733.8
sda,0,0,0,0,0,0.0,1.26,0.0,1701.0,94.5,0.6,1701.0
sda,427,52868,0,52868,0,66613.7,1.26,0.0,1362.4,75.69,0.6,67976.1
sda,491,62336,0,62336,0,78543.4,1.26,0.0,1364.9,75.83,0.6,79908.3
sda,523,61568,5404,61568,5404,77575.7,1.26,6809.0,1365.1,75.84,0.6,85749.8
sda,222,27520,1540,27520,1540,34675.2,1.26,1940.4,1356.8,75.38,0.6,37972.4
sda,530,63616,3836,63616,3836,80156.2,1.26,4833.4,1333.1,74.06,0.6,86322.6
sda,259,30776,10316,30776,10316,38777.8,1.26,12998.2,1328.4,73.8,0.6,53104.3
sda,66,4,43756,4,43756,5.0,1.26,55132.6,1346.6,74.81,0.6,56484.2
sda,66,8,55200,8,55200,10.1,1.26,69552.0,1350.0,75,0.6,70912.1
sda,57,80,41368,80,41368,100.8,1.26,52123.7,771.5,42.86,0.6,52996.0
sda,71,36,46148,36,46148,45.4,1.26,58146.5,870.5,48.36,0.6,59062.3
sda,81,76,54564,76,54564,95.8,1.26,68750.6,797.4,44.3,0.6,69643.8
sda,58,32,51492,32,51492,40.3,1.26,64879.9,758.0,42.11,0.6,65678.2
sda,216,5172,6728,5172,6728,6516.7,1.26,8477.3,1148.8,63.82,0.6,16142.8
sda,17,148,64,148,64,186.5,1.26,80.6,1768.5,98.25,0.6,2035.6
sda,1,4,0,4,0,5.0,1.26,0.0,1786.5,99.25,0.6,1791.5
sda,9,40,0,40,0,50.4,1.26,0.0,1773.0,98.5,0.6,1823.4
sda,169,1712,0,1712,0,2157.1,1.26,0.0,1654.9,91.94,0.6,3812.0
sda,7,44,0,44,0,55.4,1.26,0.0,1763.8,97.99,0.6,1819.3
sda,2,0,12,0,12,0.0,1.26,15.1,1773.2,98.51,0.6,1788.3
sda,0.99,3.96,0,4,0,5.0,1.26,0.0,1786.5,99.25,0.6,1791.5
sda,0,0,0,0,0,0.0,1.26,0.0,1795.5,99.75,0.6,1795.5
sda,0,0,0,0,0,0.0,1.26,0.0,1795.5,99.75,0.6,1795.5
sda,0,0,0,0,0,0.0,1.26,0.0,1800.0,100,0.6,1800.0
sda,4,24,12,24,12,30.2,1.26,15.1,1768.5,98.25,0.6,1813.9
sda,0,0,0,0,0,0.0,1.26,0.0,1791.0,99.5,0.6,1791.0
sda,0,0,0,0,0,0.0,1.26,0.0,1795.5,99.75,0.6,1795.5
sda,0,0,0,0,0,0.0,1.26,0.0,1800.0,100,0.6,1800.0
sda,0,0,0,0,0,0.0,1.26,0.0,1795.5,99.75,0.6,1795.5
